类型;类别ID;类别;名称;地址;城市;区县;经度;纬度;开放时间;图片
15;211;文化礼堂;向红村文化礼堂;杭州市钱塘区河庄街道向红村村委会;杭州市;钱塘区;120.452724;30.316642;08:30-16:30;/whyx/20230113/47543510146_48846.jpg
1;198;农家书屋;湍口镇二联村农家书屋;杭州市临安区湍口镇中共三联村总支部委员会三联村村委会;杭州市;临安区;119.195916;30.053763;08:00-16:30;/whyx/20230113/47042_1(1).jpg
1;198;农家书屋;创新村智慧阅读区;杭州市钱塘区新湾街道创新村紫瑞华庭10幢110号农家书屋;杭州市;钱塘区;120.541856;30.288542;08:30-16:30;/whyx/20230113/47038_IMG_5649.JPG
9;205;体育设施;余杭中学健身房;浙江省杭州市余杭区文一西路2228号;杭州市;余杭区;119.964351;30.266627;09:00-17:00;/whyx/20230113/47026_20230113111042.png
9;205;体育设施;群建村健身舞蹈房;群建村文化礼堂2楼;杭州市;钱塘区;120.459728;30.290476;09:00-17:00;/whyx/20230113/46692513149_93470.jpg
1;198;农家书屋;清凉峰镇九都村农家书屋;杭州市临安区清凉峰镇九都村青紫坑口251号;杭州市;临安区;119.066697;30.13895;09:00-16:00;/whyx/20230113/46389153251_36901.jpg
9;205;体育设施;闲林村西坞畈公寓健身点;闲林街道西坞畈公寓;杭州市;余杭区;119.984448;30.221244;00:00-00:00;/whyx/20230113/46094132601_78920.jpg
15;211;文化礼堂;天目山镇对石村文化礼堂;浙江省杭州市临安区天目山镇对石村村委会旁;杭州市;临安区;119.443119;30.189281;08:30-18:30;/whyx/20230113/45559616009_81023.jpg
15;211;文化礼堂;清凉峰镇大鹄村文化礼堂;浙江省杭州市临安区清凉峰镇大鹄村路口桥头69号;杭州市;临安区;118.97882;30.14753;08:30-17:00;/whyx/20230113/45406592452_88067.jpg
1;198;农家书屋;高虹镇长溪村农家书屋;杭州市临安区高虹镇长溪村综治中心中共长溪村委员会;杭州市;临安区;119.68615;30.326615;09:00-17:00;/whyx/20230113/45318_1.jpg
1;198;农家书屋;清凉峰镇玉屏村农家书屋;杭州市临安区清凉峰镇玉屏村村委楼大成2号;杭州市;临安区;119.003865;30.146281;09:00-16:00;/whyx/20230113/4530084774_32152.jpg
1;198;农家书屋;天目山镇横塘村农家书屋;杭州市临安区天目山镇横塘村61号;杭州市;临安区;119.541519;30.20726;08:30-17:00;/whyx/20230113/45242910546_687.jpg
9;205;体育设施;凤联社区碧景园羽毛球场;余杭街道凤联社区碧景园城南路353号;杭州市;余杭区;119.94605;30.258338;08:00-18:00;/whyx/20230113/45152_05227c104237788ac25c237932fd134.jpg
9;205;体育设施;枫岭村李家坞健身路径;中泰街道枫岭村李家坞;杭州市;余杭区;119.913895;30.193933;08:00-17:00;/whyx/20230113/4514169702_10855.jpg
1;198;农家书屋;板桥镇三口村农家书屋;杭州市临安区板桥镇三口村;杭州市;临安区;119.748895;30.096478;08:30-20:00;/whyx/20230113/44986260942_21242.jpg
14;210;文体中心;仓前街道文体中心大楼（新）;仓兴街300号;杭州市;余杭区;119.994288;30.288517;09:00-19:00;/whyx/20230113/44920916134_16175.jpg
2;199;文博场馆;钱学森故居;方谷园2号;杭州市;上城区;120.176542;30.252481;09:00-17:00;/whyx/20230113/44373817060_36402.jpg
1;198;农家书屋;板桥镇环湖村农家书屋;杭州市临安区板桥镇环湖村村委会;杭州市;临安区;119.771584;30.21244;08:30-20:00;/whyx/20230113/44347961426_68811.jpg
9;205;体育设施;群建村乒乓球室;群建村文化礼堂1楼;杭州市;钱塘区;120.459728;30.290476;09:00-17:00;/whyx/20230113/44337515424_89561.png
1;198;农家书屋;闲林村农家书屋;闲林街道方家山路88号;杭州市;余杭区;119.983098;30.219495;09:00-17:00;/whyx/20230113/44024957214_75285.jpg
9;205;体育设施;杭州市余杭区闲林街道竹韵竹海艺术体操馆;"杭州市余杭区闲林街道竹韵竹海艺术体操馆
";杭州市;余杭区;119.982461;30.237365;08:00-20:00;/whyx/20230113/43888_7804391320284f6dbe479ec4d39886bf.png
15;211;文化礼堂;丁兰街道沿山村文化礼堂;上城区丁兰街道沿山村华家龙1号;杭州市;上城区;120.212666;30.368106;09:00-17:00;/whyx/20230113/43722_WechatIMG25.jpeg
19;214;公共阅报栏;鸬鸟镇太平山村锡康文化礼堂宣传栏;鸬鸟太平山村锡康;杭州市;余杭区;119.756935;30.413499;00:00-23:59;/whyx/20230113/43693_972df47dd4586c29ca6aecbb686651b.jpg
1;198;农家书屋;老年活动室阅读室;村委会旁100米老年活动室;杭州市;钱塘区;120.449187;30.289261;08:00-17:00;/whyx/20230113/43597_71106079cfe072ffce310c3964f2a0a.jpg
9;205;体育设施;闲林街道良睦社区浪漫和山乒乓球室;闲林街道良睦社区浪漫和山小区;杭州市;余杭区;120.012739;30.212692;07:00-21:00;/whyx/20230113/43593_1673579003907.jpg
19;214;公共阅报栏;东方社区公共电子屏;杭州市钱塘区下沙街道东方水岚佳苑6幢南面;杭州市;钱塘区;120.335696;30.324363;08:00-17:00;/whyx/20230113/4354367763_16747.jpg
13;209;老年活动中心;闲林街道山水社区蒙卡岸老年活动中心;闲林街道山水社区蒙卡岸东门会所;杭州市;余杭区;120.010862;30.241313;08:30-17:00;/whyx/20230113/43442727203_55334.jpg
9;205;体育设施;浪漫和山小区游泳馆;余杭区小和山高教园区浪漫和山;杭州市;余杭区;120.012739;30.212692;08:00-21:00;/whyx/20230113/43352539517_17003.jpg
1;198;农家书屋;湍口镇雪山村农家书屋;杭州市临安区湍口镇雪山村大板地25号;杭州市;临安区;119.230844;30.021256;08:30-16:30;/whyx/20230113/4313_1(1).jpg
9;205;体育设施;闲林街道山水社区金都雅苑网球场;杭州市余杭区闲林街道山水社区金都雅苑网球场;杭州市;余杭区;120.012741;30.238919;07:00-17:00;/whyx/20230113/43070_1673574340739.png
9;205;体育设施;闲林街道良睦社区绿野春天东区篮球场;杭州市余杭区里东路绿野春天东区;杭州市;余杭区;120.002371;30.205652;08:00-22:00;/whyx/20230113/43064075416_51516.jpg
12;208;儿童之家;甄家湾社区妇女活动室;闲林街道甄家湾社区爵士风情雅兰苑2幢3楼;杭州市;余杭区;119.992125;30.233887;08:30-17:00;/whyx/20230113/4291386930_31551.jpg
9;205;体育设施;凤栖社区湖山帝景湾二期篮球场;湖山帝景湾南苑4幢北侧;杭州市;余杭区;119.934837;30.250077;08:30-20:00;/whyx/20230113/42897853232_60319.jpg
1;198;农家书屋;湍口镇童家村农家书屋;杭州市临安区湍口镇童家村;杭州市;临安区;119.217847;29.972036;08:00-20:00;/whyx/20230113/42884_1(2).JPG
15;211;文化礼堂;天目山镇徐村村文化礼堂;浙江省杭州市临安区天目山镇徐村村委旁;杭州市;临安区;119.489545;30.276915;08:30-18:30;/whyx/20230113/42719242925_40021.jpg
9;205;体育设施;金星村梅家桥星苑健身点;余杭街道金星村;杭州市;余杭区;119.968903;30.26599;08:30-20:30;/whyx/20230113/4271413807_48194.jpg
19;214;公共阅报栏;镇东社区公共宣传栏;百丈镇镇东社区;杭州市;余杭区;119.73;30.52;00:00-00:00;/whyx/20230113/42658_41330993.jpg
9;205;体育设施;万景五组陆家角健身路径;万景五组陆家角健身路径;杭州市;余杭区;119.99042;30.247903;08:00-23:00;/whyx/20230113/42543230393_40547.png
1;198;农家书屋;上湖村农家书屋;上湖村文化礼堂;杭州市;余杭区;119.919747;30.277013;09:00-17:00;/whyx/20230113/42537339039_37755.jpg
9;205;体育设施;闲林街道良睦社区绿野春天东区网球场;余杭区闲林街道绿野春天东区;杭州市;余杭区;120.002371;30.205652;08:00-22:00;/whyx/20230113/42513880400_46526.jpg
9;205;体育设施;杭州市余杭区闲林街道竹韵竹海3幢健身路径;"杭州市余杭区闲林街道竹韵竹海3幢全民健身路径
";杭州市;余杭区;119.982461;30.237365;00:00-00:00;/whyx/20230113/423_u=4114798437,435586483&fm=253&fmt=auto&app=138&f=JPEG.webp.jpg
15;211;文化礼堂;湍口镇三联村文化礼堂;浙江省杭州市临安区湍口镇三联村村委;杭州市;临安区;119.191176;30.055105;08:00-18:30;/whyx/20230113/42222_07A44B0B706A69EF915A5E19DD5A850B.png
9;205;体育设施;凤凰山公园绿道;余杭区余杭街道凤凰山公园;杭州市;余杭区;119.9358887;30.2555456;00:00-23:59;/whyx/20230113/42023844625_10214.jpg
12;208;儿童之家;甄家湾社区绘画室;闲林街道甄家湾社区爵士风情雅兰苑南侧3楼;杭州市;余杭区;119.992414;30.234228;08:30-17:00;/whyx/20230113/41809121821_77155.jpg
9;205;体育设施;上湖村湖东新苑健身点;上湖村湖东新苑;杭州市;余杭区;119.921852;30.277249;00:00-00:00;/whyx/20230113/4175_1673593263200.png
1;198;农家书屋;常安镇图书分馆;杭州市富阳区常安镇大田村;杭州市;富阳区;119.900474;29.881682;08:30-11:00;/whyx/20230113/41639096615_28951.jpg
9;205;体育设施;闲林街道竹韵竹海业主之家艺术体操馆;闲林街道竹韵竹海业主之家艺术体操馆;杭州市;余杭区;119.980397;30.238282;08:00-20:00;/whyx/20230113/41589_7804391320284f6dbe479ec4d39886bf.png
1;198;农家书屋;杭州精欣化工有限公司职工书屋;杭州市临安区龙岗工业园区龙都街周一至周日085周一至周日08号;杭州市;临安区;119.138747;30.169893;09:00-16:30;/whyx/20230113/41576439393_71361.png
19;214;公共阅报栏;新元社区南电子屏;华景街160;杭州市;钱塘区;120.332934;30.312626;08:00-20:00;/whyx/20230113/41544215583_16400.jpg
9;205;体育设施;闲林街道山水社区闲林山水游泳池;余杭区闲林街道山水社区闲林山水丹枫苑;杭州市;余杭区;120.016495;30.233542;08:00-19:00;/whyx/20230113/41388538706_35351.jpg
9;205;体育设施;余杭区闲林街道竹韵竹海业主之家乒乓球馆;余杭区闲林街道竹韵竹海业主之家乒乓球馆;杭州市;余杭区;119.982379;30.237312;08:00-22:00;/whyx/20230113/41369_u=2262077638,1727960327&fm=253&fmt=auto&app=138&f=JPEG.webp.jpg
1;198;农家书屋;高虹镇虹桥村农家书屋;杭州市临安区高虹街与扬山路交叉口东240米;杭州市;临安区;119.727052;30.317893;09:00-16:00;/whyx/20230113/41316563913_72254.jpg
12;208;儿童之家;鸬鸟镇太平山村儿童之家;太平山村下潘家宴中心旁;杭州市;余杭区;119.748834;30.42628;07:00-17:00;/whyx/20230113/41056_4da1b4d13f4692979eff275e1c7b051.jpg
1;198;农家书屋;湍口镇凉溪村农家书屋;杭州市临安区凤蒲线;杭州市;临安区;119.10951;30.057208;08:00-16:30;/whyx/20230113/40910_9BD5083BE75875266A454424686FE207.png
19;214;公共阅报栏;新元社区党史文化墙;华景街160六幢北侧;杭州市;钱塘区;120.332934;30.312626;00:00-00:00;/whyx/20230113/40789417596_54723.jpg
15;211;文化礼堂;清凉峰镇九都村文化礼堂;浙江省杭州市临安区清凉峰镇九都村青紫坑口251号;杭州市;临安区;119.066697;30.13895;08:30-17:00;/whyx/20230113/40784345888_98385.jpg
9;205;体育设施;余杭街道文昌社区同城印象东区9幢健身点;余杭街道文昌社区同城印象东区9幢架空层;杭州市;余杭区;119.9585;30.2745;09:00-16:00;/whyx/20230113/40731459604_21378.jpg
14;210;文体中心;富阳区东洲街道综合文化站;杭州市富阳区东洲街道逸城社区东洲街道党群服务中心;杭州市;富阳区;120.038013;30.079516;08:00-20:00;/whyx/20230113/40720796543_40723.jpg
9;205;体育设施;闲林街道良睦社区浪漫和山室外网球场;余杭区留和路浪漫和山小区;杭州市;余杭区;120.012739;30.212692;07:00-21:00;/whyx/20230113/4069261711_59440.jpg
9;205;体育设施;竹园村戴家组健身路径;竹园村戴家组;杭州市;余杭区;119.869556;30.274302;00:00-00:00;/whyx/20230113/40417887511_32953.png
15;211;文化礼堂;东洲街道鸡笼山村文化礼堂;杭州市富阳区东洲街道鸡笼山村赤松自然村;杭州市;富阳区;119.99155;30.096068;08:00-20:00;/whyx/20230113/40091099268_27368.jpg
1;198;农家书屋;板桥镇上田村农家书屋;杭州市临安区板桥镇人民法院共享法庭(上田村);杭州市;临安区;119.831915;30.184265;08:30-20:00;/whyx/20230113/39789987555_74292.jpg
1;198;农家书屋;杭州市余杭区图书馆山文山社区分馆;杭州市余杭区余杭街道城南路3号;杭州市;余杭区;119.954076;30.258245;09:00-17:00;/whyx/20230113/39651431054_47727.jpg
1;198;农家书屋;河桥镇学川村农家书屋;杭州市临安区河桥镇学川村137号;杭州市;临安区;119.050964;30.082388;06:00-20:00;/whyx/20230113/39464964591_32128.png
1;198;农家书屋;清凉峰镇浙川村农家书屋;杭州市临安区清凉峰镇浙川村浙基田村委16号;杭州市;临安区;118.860808;30.148976;09:00-16:00;/whyx/20230113/39117095408_87785.jpg
1;198;农家书屋;杭州市余杭区图书馆大禹社区分馆;"杭州市余杭区余杭街道城东路298号
";杭州市;余杭区;119.954293;30.266204;08:00-17:00;/whyx/20230113/38950_230113133541.png
9;205;体育设施;永安村金家村健身路径;永安村金家组;杭州市;余杭区;119.942589;30.314556;08:00-17:00;/whyx/20230113/38944_1673598379821.png
1;198;农家书屋;采荷街道芙蓉社区职工书屋;杭州市上城区百合路与采荷路交汇处;杭州市;上城区;120.193024;30.251804;09:00-16:00;/whyx/20230113/38921_a160bda19bb5f1d5df2b15082f49216.jpg
1;198;农家书屋;中泰街道双联村农家书屋;杭州市余杭区中泰街道双联村总支部委员会双联村村委会;杭州市;余杭区;119.944914;30.20933;08:30-17:00;/whyx/20230113/38755458763_32366.jpg
105;党群服务中心;党群服务中心;何母桥村村委二楼垃圾分类宣教室;何母桥村党群服务中心;杭州市;余杭区;120.018793;30.253809;08:00-17:00;/whyx/20230113/3861887142_55728.jpg
1;198;农家书屋;丁兰街道五会港社区图书室;杭州市上城区明珠街1293号二楼;杭州市;上城区;120.212908;30.346954;09:00-17:00;/whyx/20230113/38536_mmexport1641000696597.jpg
9;205;体育设施;甄家湾社区爵士风情网球场;闲林街道甄家湾社区爵士风情三韵南侧;杭州市;余杭区;119.98961;30.235037;08:00-20:00;/whyx/20230113/38292657757_38378.jpg
1;198;农家书屋;天目山镇门口村农家书屋;杭州市临安区浪白线门口村30号;杭州市;临安区;119.492734;30.301921;08:30-17:00;/whyx/20230113/38288253362_14088.jpg
9;205;体育设施;杭区闲林街道竹韵竹海14幢全民健身路径;杭区闲林街道竹韵竹海14幢全民健身路径;杭州市;余杭区;119.982461;30.237365;00:00-00:00;/whyx/20230113/38180_1631395854531064744984.jpg
15;211;文化礼堂;丁兰街道皋城村文化礼堂;杭州市江干区丁兰街道皋城村二组风情路;杭州市;上城区;120.228684;30.385089;08:00-16:30;/whyx/20230113/3792_WechatIMG27.jpeg
1;198;农家书屋;杭州升达电子有限公司职工书屋;杭州市临安区河桥镇聚秀村公路边3号;杭州市;临安区;119.235611;30.114688;08:00-21:00;/whyx/20230113/37741_7d43dd389c604f239725933b25dc1fd7_20221102082508_9618.jpg
12;208;儿童之家;华丰社区儿童之家;闲林街道华丰社区居民委员会;杭州市;余杭区;120.012922;30.244133;08:30-16:30;/whyx/20230113/37620932211_55466.jpg
1;198;农家书屋;板桥镇上钱村农家书屋;杭州市临安区三大线上钱村村民委员会附近;杭州市;临安区;119.724217;30.106507;08:30-20:00;/whyx/20230113/37308162250_89151.jpg
105;党群服务中心;党群服务中心;向公村大小会议室;向公村村委会三楼;杭州市;钱塘区;120.472213;30.302888;08:00-17:00;/whyx/20230113/37291394698_39397.png
16;212;文化家园;青龙社区文化家园;湖语澜轩小区;杭州市;临安区;119.736473;30.232185;08:30-20:00;/whyx/20230113/37057561852_50599.jpg
105;党群服务中心;党群服务中心;城隍庙社区会议室;河庄街道城隍庙社区党群服务中心;杭州市;钱塘区;120.45619;30.296861;08:30-16:30;/whyx/20230113/36870_IMG_20230113_152654.jpg
1;198;农家书屋;新湾街道新湾新南村阅读区;杭州市钱塘区杭州市萧山区盛凌路西50米;杭州市;钱塘区;120.532591;30.270146;18:30-20:30;/whyx/20230113/36673716612_88077.jpg
18;213;文化服务点/阅览室;向红村共享法庭;杭州市钱塘区河庄街道向红村村委会;杭州市;钱塘区;120.452724;30.316642;08:30-16:30;/whyx/20230113/3665084183_65484.jpg
15;211;文化礼堂;天目山镇横塘村文化礼堂;浙江省杭州市临安区天目山镇横塘村村委会旁;杭州市;临安区;119.541519;30.20726;09:00-17:00;/whyx/20230113/36571424572_24413.jpg
9;205;体育设施;上湖村林山健身点;上湖村林山组;杭州市;余杭区;119.907033;30.283042;00:00-00:00;/whyx/20230113/3647_1673592015291.png
15;211;文化礼堂;河桥镇中鑫村文化礼堂;浙江省杭州市临安区河桥镇中鑫村外董家10号;杭州市;临安区;119.211414;30.092932;09:00-17:00;/whyx/20230113/36065_D48B0253C5F488A7C4CD5E7E3B0D8FD6.jpg
9;205;体育设施;毓溪社区足球场;毓溪社区西溪山庄足球场;杭州市;余杭区;119.966854;30.227358;08:30-20:00;/whyx/20230113/3606403342_11438.jpg
9;205;体育设施;义桥村中村健身路径;义桥村中村组;杭州市;余杭区;119.911258;30.317617;00:00-23:59;/whyx/20230113/35869215000_45308.jpg
1;198;农家书屋;板桥镇桃源村农家书屋;杭州市临安区板桥镇桃源村万利纸业有限公司;杭州市;临安区;119.789448;30.141249;08:30-20:00;/whyx/20230113/35849833405_44821.jpg
1;198;农家书屋;太阳镇桃源溪村农家书屋;杭州市临安区太阳镇桃源溪村村委;杭州市;临安区;119.28798;30.235115;08:30-16:30;/whyx/20230113/35458_1673604643685.png
9;205;体育设施;闲林街道山水社区闲林山水小区羽毛球场;余杭区闲林街道山水社区闲林山水居海棠苑羽毛球场;杭州市;余杭区;120.019582;30.235094;07:00-19:00;/whyx/20230113/3538954833_85051.jpg
9;205;体育设施;杭州市余杭区余杭街道大禹社区金沙公寓健身;金沙公寓;杭州市;余杭区;119.954149;30.256377;09:00-16:00;/whyx/20230113/35156349064_62915.jpg
9;205;体育设施;上湖村七里健身点;上湖村七里组;杭州市;余杭区;119.899477;30.269964;00:00-00:00;/whyx/20230113/34765_1673593788352.png
3;200;文化活动室;幸福河社区文化家园;中泰街道南湖大厦四楼;杭州市;余杭区;119.930534;30.244604;08:30-17:30;/whyx/20230113/34399947140_75569.jpg
9;205;体育设施;杭州余杭义桥股份经济合作社中村乒乓球场;杭州余杭义桥村中村组;杭州市;余杭区;119.911258;30.317617;00:00-23:59;/whyx/20230113/34214458281_11751.jpg
9;205;体育设施;闲林街道竹韵居民委员会爵士14幢健身路径;闲林街道竹韵居民委员会爵士14幢健身路径;杭州市;余杭区;119.982253;30.238279;00:00-00:00;/whyx/20230113/34066_1631395854531064744984.jpg
12;208;儿童之家;闲林街道山水社区儿童之家;余杭区闲林街道山水社区三楼;杭州市;余杭区;120.015443;30.233783;09:00-17:00;/whyx/20230113/33973266779_19446.jpg
13;209;老年活动中心;创建村公园;创建村委会旁;杭州市;钱塘区;120.547436;30.295341;09:00-17:00;/whyx/20230113/33967673309_7359.jpg
9;205;体育设施;闲林街道山水社区闲林山水小区五人制足球场;闲林街道山水社区闲林山水居木兰苑五人制足球场;杭州市;余杭区;120.013441;30.232084;08:30-19:00;/whyx/20230113/33819464453_43782.jpg
15;211;文化礼堂;清凉峰镇杨溪村文化礼堂;浙江省杭州市临安区清凉峰镇杨溪村义干60号;杭州市;临安区;119.020634;30.121287;09:00-17:00;/whyx/20230113/33507871493_7185.png
1;198;农家书屋;径山镇小古城村农家书屋;杭州市余杭区径山镇小古城村文化礼堂内;杭州市;余杭区;119.910639;30.39403;08:30-16:30;/whyx/20230113/33434659349_45719.jpg
9;205;体育设施;余杭区闲林街道竹韵竹海10幢全民健身路径;余杭区闲林街道竹韵竹海10幢全民健身路径;杭州市;余杭区;119.983583;30.237434;00:00-00:00;/whyx/20230113/33404_1631395854531064744984.jpg
9;205;体育设施;义桥村冯家组健身点;义桥村冯家组;杭州市;余杭区;119.902793;30.299578;00:00-23:59;/whyx/20230113/33264435908_17986.jpg
4;201;非遗馆;高桥村乡风民俗馆;仓前街道高桥村文体中心;杭州市;余杭区;120.01313;30.321357;08:00-17:00;/whyx/20230113/33119_11.jpg
9;205;体育设施;闲林街道良睦社区绿野春天东区健身点;余杭区小和山高教园区西南角留和路绿野春天东区;杭州市;余杭区;120.002371;30.205652;08:00-22:00;/whyx/20230113/33055959356_29384.jpg
9;205;体育设施;云栖村文体活动中心健身路径;闲林街道云栖村3组文化礼堂附近;杭州市;余杭区;119.951928;30.200234;09:00-17:30;/whyx/20230113/32895998489_55836.png
9;205;体育设施;闲林街道良睦社区绿野春天西区健身点;余杭区闲林街道里东路绿野春天西区;杭州市;余杭区;119.995452;30.203779;08:00-22:00;/whyx/20230113/32823_1673577668452.jpg
9;205;体育设施;余杭街道文昌社区同城印象北区2幢健身点;余杭街道文昌社区同城印象北区2幢;杭州市;余杭区;119.9568;30.2771;09:00-16:00;/whyx/20230113/3273675002_39260.jpg
1;198;农家书屋;天目山镇天目村农家书屋;杭州市临安区天目山镇天目村71号;杭州市;临安区;119.54122;30.207854;08:30-17:30;/whyx/20230113/32546374424_31143.jpg
15;211;文化礼堂;清凉峰镇浙川村文化礼堂;浙江省杭州市临安区清凉峰镇浙川村浙基田村委16号;杭州市;临安区;118.860808;30.148976;08:00-17:00;/whyx/20230113/32534_1673579857256.png
9;205;体育设施;东方社区多功能运动场;杭州市钱塘区下沙街道东方水岚佳苑11幢北面;杭州市;钱塘区;120.334911;30.325402;08:00-20:00;/whyx/20230113/32450578172_10849.jpg
1;198;农家书屋;清凉峰镇石长城村农家书屋;杭州市临安区清凉峰镇石长城村大石门30号;杭州市;临安区;118.924055;30.138889;09:00-16:00;/whyx/20230113/32246844689_23606.jpg
1;198;农家书屋;场口镇真佳溪村农家书屋;杭州市富阳区场口镇真佳溪村村委;杭州市;富阳区;119.897223;29.907854;08:00-11:00;/whyx/20230113/322_1.jpg
13;209;老年活动中心;葵巷社区居家养老中心;杭州市上城区华藏寺巷14幢底层;杭州市;上城区;120.183114;30.26013;09:00-17:00;/whyx/20230113/32062_6cbc39f550d21eaba4c3523c9903268.png
9;205;体育设施;宏图建材篮球场;钱塘区新湾街道宏新村旁;杭州市;钱塘区;120.541852;30.284477;09:00-17:30;/whyx/20230113/31999_2ad9f19a517382b251e83e2f53d3eaa.png
9;205;体育设施;新泰村新武岭健身苑;中泰街道新泰村新武岭;杭州市;余杭区;119.893278;30.213487;00:00-23:59;/whyx/20230113/31998_a24cdbd47bed0ae53f18852fcf10765.jpg
1;198;农家书屋;浙江龙港坚果炒货食品城开发有限公司职工书屋;杭州市临安区龙舒街75周一至周日08号;杭州市;临安区;119.136663;30.169891;09:00-16:30;/whyx/20230113/31432621815_34268.png
1;198;农家书屋;灵桥镇光明村农家书屋;杭州市富阳区灵桥镇光明村1号;杭州市;富阳区;120.041274;30.005162;08:00-11:00;/whyx/20230113/31371_guangming.jpg
9;205;体育设施;万景姚家头健身路径;万景姚家头健身路径;杭州市;余杭区;120.002102;30.245102;08:00-23:00;/whyx/20230113/31342243422_81941.png
105;党群服务中心;党群服务中心;新元社区社会主义价值观宣传墙;华景街160;杭州市;钱塘区;120.332934;30.312626;00:00-00:00;/whyx/20230113/31324748474_72400.jpg
19;214;公共阅报栏;溪塔村健康宣传栏;余杭街道溪塔村立新组宋家村34号;杭州市;余杭区;119.943832;30.28476;00:00-23:59;/whyx/20230113/31121214138_59004.png
16;212;文化家园;丁兰街道五会港社区文化家园;丁兰街道明珠街1293号;杭州市;上城区;120.213003;30.347196;09:00-20:00;/whyx/20230113/30669_11889.jpg
1;198;农家书屋;高桥村农家书屋;仓前街道高桥村文体中心;杭州市;余杭区;120.017762;30.318846;08:00-17:00;/whyx/20230113/30588_a0114c558bc6059c99263066810ba19.jpg
16;212;文化家园;茅廊巷社区文化家园;欢乐巷8号;杭州市;上城区;120.173078;30.249875;08:30-17:00;/whyx/20230113/30301_ec5232e7107129f35d31ba7adc8f5aa.jpg
1;198;农家书屋;板桥镇板桥村农家书屋;杭州市临安区206省道与板余线交叉口西南40米;杭州市;临安区;119.783885;30.164276;08:30-20:00;/whyx/20230113/30217838385_73500.jpg
1;198;农家书屋;图书馆;浙江省杭州市钱塘区上沙路246号和达御观邸7幢2单元银沙社区;杭州市;钱塘区;120.330515;30.3078;08:30-17:00;/whyx/20230113/30146_11.JPG
4;201;非遗馆;长乐村非遗展示馆场馆;径山镇长乐村长西宋村组;杭州市;余杭区;119.855736;30.339973;09:00-16:30;/whyx/20230113/30082091497_42367.jpg
15;211;文化礼堂;清凉峰镇颊口村文化礼堂;浙江省杭州市临安区清凉峰镇颊口村桥西16号;杭州市;临安区;119.034505;30.128388;08:30-17:00;/whyx/20230113/30023422353_51466.jpg
9;205;体育设施;新泰村新农村健身苑;中泰街道新泰村八角亭新农村;杭州市;余杭区;119.914663;30.231204;00:00-23:59;/whyx/20230113/3001_98cbabf8fd623c7be85c0d0f5d3f4a6.jpg
9;205;体育设施;永安村高地组健身苑点;永安村高地组;杭州市;余杭区;119.939611;30.339575;08:00-17:00;/whyx/20230113/29984_1673598940503.png
15;211;文化礼堂;天目山镇西游村文化礼堂;浙江省杭州市临安区天目山镇西游村村委旁;杭州市;临安区;119.464635;30.332895;08:30-18:00;/whyx/20230113/29751237917_38804.jpg
9;205;体育设施;中策学校羽毛球场;钱塘区新湾街道江东大道旁2;杭州市;钱塘区;120.541754;30.284501;09:00-17:30;/whyx/20230113/29617_d7f98fcd408eb446dc0d17d8cb9f1a9a_.jpg
9;205;体育设施;孙家坞社区四组健身点;余杭区闲林街道孙家坞社区徐家塘上;杭州市;余杭区;119.965693;30.209006;06:00-21:00;/whyx/20230113/29404_IMG_1008(1).jpg
1;198;农家书屋;中泰街道中桥村农家书屋;杭州市余杭区中泰街道中桥村村委;杭州市;余杭区;119.89484;30.238582;08:30-17:30;/whyx/20230113/29339540431_20090.png
9;205;体育设施;禅修文化园嵌入式体育设施;钱塘区新湾街道建华村左建线旁3;杭州市;钱塘区;120.541754;30.284501;09:00-17:30;/whyx/20230113/29158_111.jpg
15;211;文化礼堂;天目山镇一都村文化礼堂;浙江省杭州市临安区天目山镇一都村游客接待中心旁夏家37号;杭州市;临安区;119.485276;30.328693;08:30-18:30;/whyx/20230113/29012345332_1434.jpg
19;214;公共阅报栏;百丈镇石竹园村宣传栏;百丈镇石竹园村村委前;杭州市;余杭区;119.4511;30.326;00:00-00:00;/whyx/20230113/29010123799_3497.jpg
9;205;体育设施;枫岭村金村健身点;中泰街道枫岭村金村;杭州市;余杭区;119.933134;30.215864;08:00-17:00;/whyx/20230113/28948168526_75376.jpg
1;198;农家书屋;河桥镇罗山村农家书屋;杭州市临安区村前村57号;杭州市;临安区;119.250777;30.13073;08:00-21:00;/whyx/20230113/28926779348_83767.png
13;209;老年活动中心;临安区老干部活动中心;杭州市临安区锦城街道江桥路314号;杭州市;临安区;119.722996;30.230227;08:30-16:00;/whyx/20230113/28637_1.jpg
105;党群服务中心;党群服务中心;凤凰山社区栖凤苑健身路径;余杭区余杭街道栖凤苑;杭州市;余杭区;119.9328886;30.2602371;00:00-23:59;/whyx/20230113/28605_5.jpg
9;205;体育设施;岑岭村西舍健身点;岑岭村西舍;杭州市;余杭区;119.930661;30.223256;00:00-23:59;/whyx/20230113/28514_48e7eff56779db7775c1555ab3e108f(1).jpg
9;205;体育设施;高桥村健身房;仓前街道高桥村文体中心;杭州市;余杭区;120.017784;30.318826;08:00-17:00;/whyx/20230113/28490780243_11389.png
1;198;农家书屋;杭州市余杭区图书馆洪桐村分馆;"杭州市余杭区余杭街道洪桐村余永线与余义线交叉口（洪桐村红星桥边）
";杭州市;余杭区;119.932498;30.301017;09:00-17:00;/whyx/20230113/2849_20230113133511.png
