类型;类别ID;类别;名称;地址;城市;区县;经度;纬度;开放时间;图片
2;199;文博场馆;天福龟鳖博物馆;杭州市萧山区通惠北路35号;杭州市;萧山区;120.288706;30.209218;nan;/whyx20221018/91/14530.jpg
5;202;剧院;太阳剧场;杭州市拱墅区东文街90号新天地;杭州市;拱墅区;120.180033;30.322663;nan;/whyx20221018/90/7834.jpg
15;211;文化礼堂;大同镇上马村文化礼堂;杭州市建德市大同镇上马村;杭州市;建德市;119.045402;29.260522;周一到周日09:00-17:00;/whyx20221018/90/16241.jpg
2;199;文博场馆;诸家村断龙非遗馆;杭州市建德市诸家村断龙非遗馆;杭州市;建德市;119.0428457;29.33038279;nan;/whyx20221018/9/9529.jpg
3;200;文化活动室;俞章社区文体中心;杭州市上城区笕桥街道俞章社区文体中心;杭州市;上城区;120.204346;30.324278;nan;/whyx20221018/9/8599.jpg
3;200;文化活动室;东坡路社区文化活动室;杭州市上城区湖滨街道东坡路社区文化活动室;杭州市;上城区;120.273033;30.161205;nan;/whyx20221018/9/8562.jpg
19;214;公共阅报栏;杭州市钱塘区闸口路新湾文化中心阅报栏;杭州市钱塘区新湾街道闸口路90号;杭州市;钱塘区;120.544823;30.281212;全天开放;/whyx20221018/9/7657.jpg
16;212;文化家园;太平弄社区文化家园;杭州市萧山区城厢街道太平弄社区8号;杭州市;萧山区;120.266363;30.1592;周一至周五上午8:30-11:30下午1：30-4：30;/whyx20221018/9/7479.jpg
14;210;文体中心;康桥街道文体活动中心;杭州市拱墅区康桥街道康桥路296号;杭州市;拱墅区;120.147326;30.355994;周一至周五9：00-16:00;/whyx20221018/9/6126.jpg
15;211;文化礼堂;大同镇丰畈村文化礼堂;杭州市建德市大同镇丰畈村葫芦庄自然村;杭州市;建德市;119.076853;29.292942;周一到周日09:00-17:00;/whyx20221018/9/16259.jpg
15;211;文化礼堂;富春街道西邮村文化礼堂;杭州市富阳区富春街道西邮村1号;杭州市;富阳区;119.86545;30.04998;08:00-20:00;/whyx20221018/9/14897.jpg
15;211;文化礼堂;银湖街道新常村文化礼堂;杭州市富阳区银湖街道新常村大山脚109号;杭州市;富阳区;119.96635;30.13026;08:00-20:00;/whyx20221018/9/14860.jpg
17;219;机房/广播站;皋亭山发射台;杭州市南山林场;杭州市;余杭区;120.2828624;30.42881688;不开放;/whyx20221018/89/8034.jpg
9;205;体育设施;加德社区百姓健身房;金城路333号加州阳光会所;杭州市;萧山区;120.250577;30.184462;nan;/whyx20221018/89/6887.jpg
14;210;文体中心;千岛湖镇综合文化站;淳安县千岛湖镇排岭南路54号;杭州市;淳安县;119.0406;29.601319;08:30-17:00;/whyx20221018/89/6395.jpg
3;200;文化活动室;云水社区文化活动室;杭州市富阳区云水社区文化活动室;杭州市;富阳区;120.2730335;30.16120463;nan;/whyx20221018/88/8972.jpg
3;200;文化活动室;东平巷社区文化活动室;杭州市上城区湖滨街道东平巷社区文化活动室;杭州市;上城区;120.16581;30.251335;nan;/whyx20221018/88/8561.jpg
15;211;文化礼堂;大同镇枫树岭村文化礼堂;杭州市建德市大同镇田长线靠近枫树底村;杭州市;建德市;119.092334;29.3469;周一到周日09:00-17:00;/whyx20221018/88/16258.jpg
15;211;文化礼堂;湍口镇湍口村文化礼堂;浙江省杭州市临安区湍口镇湍口村老街51号;杭州市;临安区;119.161295;30.039544;08:00-18:30;/whyx20221018/88/14979.jpg
1;198;农家书屋;浙江新世界国际旅游股份有限公司职工书屋;杭州市拱墅区武林街道凤起路361号;杭州市;拱墅区;120.168415;30.264224;周一至周五;/whyx20221018/88/13134.jpg
3;200;文化活动室;明月桥社区文化活动中心;杭州市上城区明月桥社区文化活动中心;杭州市;上城区;120.2163572;30.29112623;nan;/whyx20221018/87/8724.jpg
16;212;文化家园;新明社区文化家园;杭州市余杭区中泰街道新明社区文化家园;杭州市;余杭区;119.955126;30.244566;08:30-17:00;/whyx20221018/87/8344.jpg
17;219;机房/广播站;机房;杭州市拱墅区古运路110、112、114、116号;杭州市;拱墅区;120.1278212;30.30776516;不开放;/whyx20221018/87/8014.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市东清巷72-1;杭州市;拱墅区;120.165937;30.26402195;nan;/whyx20221018/87/7990.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市复兴路387、389号清河家园底层;杭州市;上城区;120.153447;30.20849024;nan;/whyx20221018/87/7987.png
2;199;文博场馆;杭州神博农家博物苑;杭州市萧山区宁围镇顺坝村402号;杭州市;萧山区;120.299747;30.266141;周一至周日08:30-17:00;/whyx20221018/87/14527.jpg
16;212;文化家园;彩虹社区文化公园;杭州市富阳区彩虹社区文化公园;杭州市;富阳区;119.7212695;29.9163559;nan;/whyx20221018/86/9058.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市滨江区浦沿街道钱塘景苑11幢1单元1201室;杭州市;滨江区;120.157401;30.185486;nan;/whyx20221018/86/7955.jpg
14;210;文体中心;新街街道文体服务中心;杭州市萧山区新街街道戚枫路61号;杭州市;萧山区;120.342322;30.194245;周一至周日8：30-11：30；13：00-17：00；17：30-19：32周一上午闭馆;/whyx20221018/86/7463.jpg
14;210;文体中心;分水镇制笔文化馆;分水镇玉华西路315号文体中心内;杭州市;桐庐县;119.43;29.93;周一至周日8:30-17:00;/whyx20221018/86/6202.jpg
15;211;文化礼堂;大同镇万兴村文化礼堂;杭州市建德市大同镇万兴村坞石桥自然村;杭州市;建德市;119.05791;29.27473;周一到周日09:00-17:00;/whyx20221018/86/16238.jpg
16;212;文化家园;九堡街道新江花园社区图书室;杭州市上城区九堡街道新江花园社区活动中心;杭州市;上城区;120.279441;30.305756;09:00-11:00;/whyx20221018/85/8663.jpg
15;211;文化礼堂;新街街道盛东村文化礼堂;杭州市萧山区新街街道盛东村村委;杭州市;萧山区;120.334746;30.208241;周一至周日9:00-17:00;/whyx20221018/85/14846.jpg
2;199;文博场馆;魏风江纪念馆;杭州市萧山区魏风江纪念馆;杭州市;萧山区;120.4889269;30.28575839;nan;/whyx20221018/84/9382.jpg
16;212;文化家园;文源社区文化家园;杭州市萧山区新塘街道文源社区文化家园;杭州市;萧山区;120.276329;30.149643;nan;/whyx20221018/84/8851.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市江南大道4320号;杭州市;滨江区;120.151196;30.185393;nan;/whyx20221018/84/7975.jpg
11;207;青少年宫;建德市青少年活动中心乾潭分部;乾潭镇万乐路118号;杭州市;建德市;119.550684;29.618217;周六至周日8:30--17:00;/whyx20221018/84/5977.jpg
14;210;文体中心;建德市梅城镇综合文化站;建德市梅城镇总府社区府前街52号;杭州市;建德市;119.503268;29.541507;08:30-17:00;/whyx20221018/84/5940.jpg
2;199;文博场馆;红毛狮子非遗传承馆;杭州市临安区红毛狮子非遗传承馆;杭州市;临安区;119.159156;30.047275;09:00-17:00;/whyx20221018/83/9165.jpg
11;207;青少年宫;萧山区青少年宫临浦分宫;杭州市临浦镇文化创意大厦;杭州市;萧山区;120.246637;30.047378;nan;/whyx20221018/83/7859.jpg
15;211;文化礼堂;大同镇胡村源村文化礼堂;杭州市建德市大同镇胡村源村胡村源自然村;杭州市;建德市;119.129189;29.334472;周一到周日09:00-17:00;/whyx20221018/83/16253.jpg
15;211;文化礼堂;富春街道宵井村文化礼堂;杭州市富阳区富春街道宵井村庙干1号;杭州市;富阳区;119.82487;30.02851;08:00-20:00;/whyx20221018/83/14866.jpg
15;211;文化礼堂;杨村桥镇路边村文化礼堂;杭州市建德市杨村桥镇路边村;杭州市;建德市;119.481704;29.589044;周一至周日9:00-17:00;/whyx20221018/83/14785.jpg
1;198;农家书屋;双浦镇白鸟村农家书屋;杭州市西湖区白鸟村文化礼堂;杭州市;西湖区;120.104598;30.11;周一至周六8:30-17:00;/whyx20221018/83/12026.jpg
1;198;农家书屋;仓前街道宋家山社区图书室;杭州市余杭区仓前街道宋家山社区图书室;杭州市;余杭区;120.01147;30.27905564;nan;/whyx20221018/82/9061.jpg
3;200;文化活动室;九堡街道和华社区文化活动室;杭州市上城区九堡街道和华社区文化活动室;杭州市;上城区;120.2614264;30.32504941;09:00-11:00;/whyx20221018/82/8648.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市江城路417-1;杭州市;上城区;120.173493;30.230781;nan;/whyx20221018/82/7995.jpg
2;199;文博场馆;国学馆;杭州市临安区国学馆;杭州市;临安区;119.179367;30.047503;09:00-17:00;/whyx20221018/81/9145.jpg
3;200;文化活动室;蓝天社区文化活动室;杭州市上城区闸弄口街道蓝天社区文化活动室;杭州市;上城区;120.183538;30.287755;nan;/whyx20221018/81/8984.jpg
5;202;剧院;杂技总团剧场;杭州市拱墅区沈塘桥路18号;杭州市;拱墅区;120.151919;30.281009;周一至周五 09:00-15:00;/whyx20221018/81/7842.jpg
13;209;老年活动中心;海龙村建新老年活动中心;杭州市临安区潜川镇海龙村方家;杭州市;临安区;119.41879;30.108218;全天开放;/whyx20221018/81/4838.jpg
15;211;文化礼堂;大同镇永平村文化礼堂;杭州市建德市大同镇永平村九山湖自然村;杭州市;建德市;120.232578;30.109913;周一到周日09:00-17:00;/whyx20221018/81/16233.jpg
1;198;农家书屋;靖江街道靖港村农家书屋;杭州市萧山区靖江街道靖港家园268号;杭州市;萧山区;120.477381;30.238442;周一至周五8:00-11:00；13:00-17：00;/whyx20221018/80/11628.jpg
16;212;文化家园;邻动秀水文化家园;杭州市萧山区邻动秀水文化家园;杭州市;萧山区;119.103806;30.235039;nan;/whyx20221018/8/8679.jpg
17;219;机房/广播站;机房;杭州市上塘路181号朝晖泵站;杭州市;拱墅区;120.1613086;30.28778354;不开放;/whyx20221018/8/8015.jpg
14;210;文体中心;楼塔镇综合文化站;杭州市萧山区楼塔镇文化广播站;杭州市;萧山区;120.134277;29.90584;周一至周日9：00-17：00;/whyx20221018/8/6868.jpg
3;200;文化活动室;玉皇山社区文化活动室;杭州市上城区玉皇山社区文化活动室;杭州市;上城区;120.1461551;30.20907138;nan;/whyx20221018/79/8964.jpg
11;207;青少年宫;萧山区青少年宫瓜沥分宫;杭州市萧山区东灵路123-124号;杭州市;萧山区;120.457882;30.176988;nan;/whyx20221018/79/7862.jpg
16;212;文化家园;南门江社区文化家园;杭州市萧山区城厢街道南门江住宅区16-1;杭州市;萧山区;120.262323;30.154122;周一至周五上午8:30-11:30下午1：30-5:00;/whyx20221018/79/7488.jpg
13;209;老年活动中心;红山农场居家养老服务中心;杭州市萧山区红山农场萧清大道4115号;杭州市;萧山区;120.361616;30.230108;周一至周五8:00--16:30;/whyx20221018/79/7156.jpg
16;212;文化家园;吴家墩社区文化家园;杭州市拱墅区康桥街道吴家墩社区东苑151-152号;杭州市;拱墅区;120.158623;30.366909;09:00-16:00;/whyx20221018/79/6135.jpg
1;198;农家书屋;浙江卓锦环保科技股份有限公司职工书屋;杭州市拱墅区绍兴路536号三立时代广场18楼;杭州市;拱墅区;120.158379;30.309888;nan;/whyx20221018/79/13142.jpg
3;200;文化活动室;金海社区文化活动中心;杭州市上城区九堡街道金海社区文化活动中心;杭州市;上城区;120.263712;30.312978;09:00-11:00;/whyx20221018/78/8651.jpg
3;200;文化活动室;闲创社区文化活动室;杭州市余杭区闲林街道闲创社区文化活动室;杭州市;余杭区;120.01147;30.279056;nan;/whyx20221018/78/8336.jpg
17;219;机房/广播站;机房;杭州市钱塘区裕园公寓9幢（东）206室;杭州市;上城区;120.3398745;30.30618475;不开放;/whyx20221018/78/8006.jpg
5;202;剧院;临平小百花越剧艺术中心;杭州市浙江省临平区为民弄8号;杭州市;临平区;120.298087;30.42147;nan;/whyx20221018/78/7827.jpg
13;209;老年活动中心;北干一苑社区老年活动室;杭州市萧山区北干街道北干一苑路102号;杭州市;萧山区;120.269437;30.174236;由居民自行协商决定;/whyx20221018/78/6903.jpg
15;211;文化礼堂;大慈岩镇吴山村文化礼堂;杭州市建德市大慈岩镇吴山村;杭州市;建德市;119.252061;29.29602;周一到周日09:00-17:00;/whyx20221018/78/16285.jpg
15;211;文化礼堂;万市镇新民村文化礼堂;富阳区万市镇新民村徐家1号;杭州市;富阳区;119.54083;30.10107;08:00-20:00;/whyx20221018/78/14834.jpg
3;200;文化活动室;复兴街社区文化活动室;杭州市上城区复兴街社区文化活动室;杭州市;上城区;120.1650049;30.21236543;nan;/whyx20221018/77/8489.jpg
17;219;机房/广播站;发射台;杭州市淳安县千岛湖镇知林巷6号;杭州市;淳安县;119.0362599;29.60104164;不开放;/whyx20221018/77/8041.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市翠苑五区20-101室;杭州市;西湖区;120.117082;30.28643549;nan;/whyx20221018/77/7963.jpg
12;208;儿童之家;金泰苑社区婴幼儿成长驿站;杭州市萧山区北干街道金泰苑社区金浦明苑7幢;杭州市;萧山区;120.260416;30.184372;周一至周五19:30-21:00，周六、周日：8:30-11:30、13:30-17:00;/whyx20221018/77/6894.jpg
1;198;农家书屋;常安镇东村坞村农家书屋;杭州市富阳区常安镇东村坞村便民服务中心东村坞村村委会;杭州市;富阳区;119.876619;29.867404;周一至周日09:00-17:00;/whyx20221018/77/12338.jpg
16;212;文化家园;石塔社区文化家园;杭州市萧山区临浦镇石塔社区文化家园;杭州市;萧山区;120.247105;30.035296;nan;/whyx20221018/76/8808.jpg
3;200;文化活动室;仁和仓社区文化服务中心;杭州市拱墅区仁和仓社区文化服务中心;杭州市;拱墅区;120.1806683;30.27179919;nan;/whyx20221018/76/8789.jpg
3;200;文化活动室;老房地社区文化活动室;杭州市拱墅区老房地社区文化活动室;杭州市;拱墅区;120.1647588;30.28846594;nan;/whyx20221018/76/8671.jpg
13;209;老年活动中心;徐家河社区老年活动中心;杭州市萧山区萧山区城厢街道通惠路159号;杭州市;萧山区;120.286537;30.153927;周一至周日8:30-11:30，13:30-17:00;/whyx20221018/76/7928.jpg
15;211;文化礼堂;新合乡新民村文化礼堂;杭州市桐庐县新合乡新民村高明自然村;杭州市;桐庐县;119.926157;29.686055;08:30:00-17:00:43;/whyx20221018/76/14854.jpg
3;200;文化活动室;美政桥社区文化活动室;杭州市上城区美政桥社区文化活动室;杭州市;上城区;120.1659857;30.21445415;nan;/whyx20221018/75/8717.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市环丁路214-216号;杭州市;上城区;120.2293896;30.35060703;nan;/whyx20221018/75/7983.jpg
15;211;文化礼堂;太湖源镇临目村文化礼堂;浙江省杭州市临安区太湖源镇临目村外横渡神龙川牌坊处;杭州市;临安区;119.569825;30.363863;08:00-20:00;/whyx20221018/75/15070.jpg
5;202;剧院;千岛湖水之灵演艺中心;杭州市浙江省淳安县珍珠大道20号;杭州市;淳安县;119.107851;29.600658;周一至周日20:00 - 21:15;/whyx20221018/74/7830.jpg
16;212;文化家园;郎家浜社区文化家园;杭州市萧山区新塘街道郎家浜社区;杭州市;萧山区;120.303765;30.177605;周一至周日8：30-17：00;/whyx20221018/74/7070.jpg
15;211;文化礼堂;大同镇盘山村文化礼堂;杭州市建德市大同镇盘山村;杭州市;建德市;119.089395;29.273791;周一到周日09:00-17:00;/whyx20221018/74/16245.jpg
3;200;文化活动室;流水东苑社区综合文化服务中心;杭州市拱墅区流水东苑社区综合文化服务中心;杭州市;拱墅区;120.1806683;30.27179919;nan;/whyx20221018/73/8700.jpg
17;219;机房/广播站;杭州市富阳区融媒体中心;杭州市富阳区江滨西大道358号;杭州市;富阳区;119.9276757;30.01276135;不开放;/whyx20221018/73/8038.jpg
13;209;老年活动中心;杭南村居家养老服务中心;临平区运河街道杭南村杭南路8号;杭州市;临平区;120.266087;30.485573;周一至周日7:30-16:30;/whyx20221018/73/5046.jpg
15;211;文化礼堂;河庄街道围中村文化礼堂;杭州市钱塘区河庄街道围中村村委会;杭州市;钱塘区;120.448966;30.329711;08:30-20:30;/whyx20221018/73/15375.jpg
15;211;文化礼堂;太阳镇武村村文化礼堂;浙江省杭州市临安区太阳镇武村高桥头59号;杭州市;临安区;119.261007;30.260477;09:00-17:00;/whyx20221018/73/15045.jpg
2;199;文博场馆;周孝子祠（家谱馆）;杭州市富阳区周孝子祠（家谱馆）;杭州市;富阳区;119.9555052;30.05126987;nan;/whyx20221018/72/9526.jpg
3;200;文化活动室;涌金门社区文化活动室;杭州市上城区湖滨街道涌金门社区文化活动室;杭州市;上城区;120.158084;30.250424;nan;/whyx20221018/72/8565.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市周浦街1号（双浦镇政府周浦办事中心） 双浦片;杭州市;西湖区;120.073117;30.089867;nan;/whyx20221018/72/7968.jpg
4;201;非遗馆;滨江区文化馆（非遗展示中心）;杭州市滨江区泰安路200号2号门5楼;杭州市;滨江区;120.210085;30.210025;周一至周日 9:00-17:00;/whyx20221018/72/40004.jpg
3;200;文化活动室;胜利社区综合文化服务中心;杭州市拱墅区胜利社区综合文化服务中心;杭州市;拱墅区;120.1806683;30.27179919;nan;/whyx20221018/71/8803.jpg
3;200;文化活动室;锦绣社区文化活动室;杭州市拱墅区米市巷街道锦绣社区活动室;杭州市;拱墅区;120.147284;30.289713;nan;/whyx20221018/71/8720.jpg
16;212;文化家园;羊山社区文化家园;杭州市余杭区羊山社区文化家园;杭州市;余杭区;119.976099;30.37769;nan;/whyx20221018/71/8348.jpg
17;219;机房/广播站;机房;杭州市西湖区转塘街道定北家园一区12号商铺;杭州市;西湖区;120.0650457;30.16173998;不开放;/whyx20221018/71/8018.jpg
15;211;文化礼堂;大同镇大同村文化礼堂;杭州市建德市大同镇古城山自然村;杭州市;建德市;119.109303;29.302917;周一到周日09:00-17:00;/whyx20221018/71/16260.jpg
15;211;文化礼堂;湖源乡新二村文化礼堂;富阳区湖源乡新二村;杭州市;富阳区;119.98713;29.82387;08:00-20:00;/whyx20221018/71/14859.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市半山路160号;杭州市;拱墅区;120.1744012;30.35290658;nan;/whyx20221018/70/7988.jpg
17;219;机房/广播站;伟民村广播电视播出传输覆盖设施;杭州市萧山区河上镇长春路8-1号;杭州市;萧山区;120.164147;29.937756;8：00—20:00;/whyx20221018/70/7870.jpg
16;212;文化家园;新桥头社区文化家园;杭州市萧山区城厢街道大通路211号新桥头社区老年过渡房;杭州市;萧山区;120.288052;30.161199;周一至周五8:30-11:30，13:30-16:30;/whyx20221018/70/7496.jpg
13;209;老年活动中心;武盛村老年人活动中心;桐庐县分水镇武盛村;杭州市;桐庐县;119.440489;29.922959;周一至周日8:30-16:30;/whyx20221018/70/6143.jpg
3;200;文化活动室;原下城区文化馆;杭州市拱墅区潮王路8-1号;杭州市;拱墅区;120.17016;30.291938;周一至周日 9:00-17:00;/whyx20221018/70/10687.jpg
17;219;机房/广播站;杭州市临安区广播电视发射台;杭州市临安区玲珑街道玲珑山顶;杭州市;临安区;119.684209;30.21648;不开放;/whyx20221018/7/7954.jpg
13;209;老年活动中心;仙家里社区老年活动中心;杭州市萧山区城厢街道萧金路7号老年过渡房2号楼;杭州市;萧山区;120.282436;30.200337;周一至周日;/whyx20221018/7/7499.jpg
10;206;文化宫;塘栖镇工人文化宫;塘栖镇西小河社区、圣堂漾路92号;杭州市;临平区;120.186827;30.476472;正在装修中;/whyx20221018/7/4999.jpg
13;209;老年活动中心;上沃村老年活动中心;杭州市临安区潜川镇上沃村;杭州市;临安区;119.389424;30.003915;全天开放;/whyx20221018/7/4807.jpg
15;211;文化礼堂;大同镇田畈村文化礼堂;杭州市建德市大同镇田畈村;杭州市;建德市;119.083496;29.342248;周一到周日09:00-17:00;/whyx20221018/7/16239.jpg
15;211;文化礼堂;岛石镇仁里村文化礼堂;浙江省杭州市临安区岛石镇仁里村皂岭脚自然村;杭州市;临安区;118.890312;30.29103;08:00-18:00;/whyx20221018/7/16158.jpg
16;212;文化家园;黄龙社区文化家园;杭州市西湖区灵隐街道黄龙社区;杭州市;西湖区;120.127883;30.273313;nan;/whyx20221018/69/8696.jpg
1;198;农家书屋;半山街道云锦书苑;杭州市拱墅区半山街道云锦书苑;杭州市;拱墅区;120.170416;30.34566025;nan;/whyx20221018/69/8409.jpg
5;202;剧院;浙江省文化馆小剧场;杭州市拱墅区武林路77号;杭州市;拱墅区;120.16036;30.26052;09:00-17:00;/whyx20221018/69/7835.jpg
12;208;儿童之家;紫霞村妇女儿童活动中心;萧山区河上镇紫霞村麻园自然村;杭州市;萧山区;120.203236;29.964755;周一至周日08：00-20:00;/whyx20221018/69/7183.jpg
15;211;文化礼堂;大同镇淞溪村文化礼堂;杭州市建德市大同镇淞溪村;杭州市;建德市;119.076111;29.272144;周一到周日09:00-17:00;/whyx20221018/69/16240.jpg
3;200;文化活动室;崇贤街道四维村文体活动场馆（崇贤二小体艺馆）;杭州市临平区崇贤街道四维村文体活动场馆（崇贤二小体艺馆）;杭州市;临平区;120.1473549;30.40573119;nan;/whyx20221018/68/9074.jpg
17;219;机房/广播站;皋亭山铁塔;杭州市南山林场;杭州市;余杭区;120.2828624;30.42881688;不开放;/whyx20221018/68/8033.jpg
13;209;老年活动中心;南栅口社区老年活动中心;临平区运河街道南栅口社区2组134号东侧;杭州市;临平区;120.303559;30.459655;周一至周日8:30--16:30;/whyx20221018/68/5041.jpg
1;198;农家书屋;东新街道三塘社区图书馆;杭州市拱墅区三塘社区图书馆;杭州市;拱墅区;120.165426;30.294769;nan;/whyx20221018/67/8797.jpg
13;209;老年活动中心;望梅社区老年活动室;杭州市临平区东湖街道兴元路623号;杭州市;临平区;120.287173;30.472898;周一至周日09:00-11:30 14:00-17:00;/whyx20221018/67/5194.jpg
